treatment,PFAS,group,rabbitID,timemod,time,kidney,liver,muscle,units,dietconcentration,dietunits,bodyweight,liverweight,kidneyweight,muscleweight,musclefraction
treat,PFOA,1,RF24,1,1,1.527700641,0.748735516,1.648689877,ug/kg,55,ug/kg,1.822,0.034,0.01,0.003,0.3
treat,PFOA,1,RM14,1,1,2.443778113,0.402183505,0.625063409,ug/kg,55,ug/kg,1.838,0.035,0.013,0.006,0.3
treat,PFOA,2,RF44,1,1,2.19,1.27,1.31,ug/kg,17.41,ug/kg,1.95,0.04,0.012,0.017,0.3
treat,PFOA,2,RM34,1,1,31.83,2.43,1.32,ug/kg,17.41,ug/kg,1.71,0.041,0.011,0.013,0.3
treat,PFOA,3,RM54,1,1,7.98,0.5,0,ug/kg,11.46,ug/kg,1.571,0.04,0.009,0.016,0.3
treat,PFOA,3,RF64,1,1,2.16,0.3,0,ug/kg,11.46,ug/kg,1.749,0.038,0.009,0.018,0.3
treat,PFOA,1,RM9,7,7,164.5504926,15.00125509,0.273848328,ug/kg,55,ug/kg,1.8,0.029,0.01,0.009,0.3
treat,PFOA,1,RF20,7,7,175.309061,20.00102961,1.124063707,ug/kg,55,ug/kg,2.01,0.026,0.009,0.007,0.3
treat,PFOA,2,RM28,7,7,119.15,8.92,0.44,ug/kg,17.41,ug/kg,1.789,0.038,0.011,0.01,0.3
treat,PFOA,2,RF38,7,7,159.58,7.33,0.58,ug/kg,17.41,ug/kg,1.791,0.04,0.011,0.012,0.3
treat,PFOA,3,RM52,7,7,58.83,3.4,0,ug/kg,11.46,ug/kg,1.845,0.041,0.013,0.02,0.3
treat,PFOA,3,RF62,7,7,77.38,6.89,0,ug/kg,11.46,ug/kg,1.777,0.045,0.012,0.021,0.3
treat,PFOA,1,RM8,14,14,323.65,12.29,1.1,ug/kg,50,ug/kg,1.638,0.03,0.011,0.006,0.3
treat,PFOA,1,RF23,14,14,227.33,15.61,1.14,ug/kg,50,ug/kg,1.751,0.028,0.011,0.009,0.3
treat,PFOA,2,RM32,14,14,44.83,3.31,0.66,ug/kg,25.79,ug/kg,1.72,0.035,0.01,0.01,0.3
treat,PFOA,2,RF43,14,14,144.96,12.22,0.8,ug/kg,25.79,ug/kg,1.97,0.028,0.011,0.014,0.3
treat,PFOA,3,RM47,14,14,68.51,3.57,0,ug/kg,8.89,ug/kg,1.841,0.036,0.011,0.024,0.3
treat,PFOA,3,RF58,14,14,56.6,1.96,0,ug/kg,8.89,ug/kg,1.712,0.035,0.01,0.022,0.3
treat,PFOA,1,RM13,28,28,354.5630704,7.838109736,1.66,ug/kg,95,ug/kg,1.739,0.041,0.012,0.007,0.3
treat,PFOA,1,RF18,28,28,71.39,16.52974453,1.223944358,ug/kg,95,ug/kg,1.924,0.03,0.011,0.003,0.3
treat,PFOA,2,RM30,28,28,176.68,5.33,0.31,ug/kg,114.75,ug/kg,1.741,0.041,0.01,0.011,0.3
treat,PFOA,2,RF40,28,28,136.37,2.74,0,ug/kg,114.75,ug/kg,1.78,0.032,0.013,0.019,0.3
treat,PFOA,3,RM51,28,28,77.6,4.75,0,ug/kg,10.89,ug/kg,1.663,0.035,0.012,0.021,0.3
treat,PFOA,3,RF59,28,28,128.07,5.45,0,ug/kg,10.89,ug/kg,1.619,0.033,0.01,0.02,0.3
treat,PFOA,1,RM12,29,29,82.19,2.89,1.63,ug/kg,0,ug/kg,1.637,0.041,0.012,0.013,0.3
treat,PFOA,2,RM33,29,29,94.84,4.58,0.65,ug/kg,1.34,ug/kg,1.698,0.036,0.011,0.011,0.3
treat,PFOA,2,RF41,29,29,119.17,1.43,0.77,ug/kg,1.34,ug/kg,1.863,0.045,0.01,0.017,0.3
treat,PFOA,3,RM49,29,29,74.58,2.31,0,ug/kg,0.36,ug/kg,1.513,0.034,0.009,0.017,0.3
treat,PFOA,3,RF57,29,29,72.02,2.04,0,ug/kg,0.36,ug/kg,1.637,0.041,0.01,0.018,0.3
treat,PFOA,1,RM10,35,35,2.356156027,0.266481969,0.309938716,ug/kg,0,ug/kg,1.809,0.041,0.011,0.011,0.3
treat,PFOA,1,RF17,35,35,30.47,1.13,0.55,ug/kg,0,ug/kg,1.832,0.034,0.01,0.011,0.3
treat,PFOA,2,RM31,35,35,4.95,0.76,0.45,ug/kg,1.34,ug/kg,1.627,0.025,0.011,0.017,0.3
treat,PFOA,2,RF42,35,35,1.95,0.45,0.74,ug/kg,1.34,ug/kg,1.736,0.026,0.01,0.016,0.3
treat,PFOA,3,RM50,35,35,5.34,0.17,0,ug/kg,0.36,ug/kg,1.572,0.029,0.01,0.017,0.3
treat,PFOA,3,RF60,35,35,0.59,0,0,ug/kg,0.36,ug/kg,1.732,0.033,0.013,0.019,0.3
treat,PFOA,1,RM7,42,42,1.57,0,0,ug/kg,1.93,ug/kg,1.719,0.037,0.013,0.013,0.3
treat,PFOA,1,RF19,42,42,10.92,0,0,ug/kg,1.93,ug/kg,1.743,0.028,0.012,0.012,0.3
treat,PFOA,2,RM27,42,42,6.57,2.6,1.99,ug/kg,2.25,ug/kg,1.644,0.036,0.011,0.015,0.3
treat,PFOA,2,RF37,42,42,2.1,1.92,0.81,ug/kg,2.25,ug/kg,1.717,0.032,0.01,0.016,0.3
treat,PFOA,3,RM53,42,42,0.51,0,0,ug/kg,0.32,ug/kg,1.741,0.036,0.01,0.021,0.3
treat,PFOA,3,RF63,42,42,0.99,0,0,ug/kg,0.32,ug/kg,1.724,0.041,0.01,0.02,0.3
treat,PFOA,1,RF21,56,56,5.03144737,0,0,ug/kg,0.06,ug/kg,1.751,0.035,0.013,0.009,0.3
treat,PFOA,1,RM11,56,56,1.25,0,0,ug/kg,0.06,ug/kg,1.735,0.033,0.008,0.012,0.3
treat,PFOA,2,RF39,56,56,1.9,1.01,1.02,ug/kg,1.66,ug/kg,1.826,0.033,0.01,0.021,0.3
treat,PFOA,2,RM29,56,56,4.04,0.93,2.51,ug/kg,1.66,ug/kg,1.701,0.034,0.011,0.018,0.3
treat,PFOA,3,RM48,56,56,0.26,0,0,ug/kg,0.21,ug/kg,1.812,0.038,0.011,0.019,0.3
treat,PFOA,3,RF61,56,56,0.2,0,0,ug/kg,0.21,ug/kg,1.712,0.045,0.012,0.022,0.3
treat,PFOA,1,RM5,0,0,0.184800477,0.716843076,0.705227183,ug/kg,0,ug/kg,1.783,0.052,0.012,0.013,0.3
